rank_by_loo,fingerprint,status,error,features,likelihoods,n_chunks,tau_threshold,window_size_hours,step_size_hours,rem_stage,loo,elpd_loo,elpd_loo_per_event,elpd_loo_per_feature,se_elpd_per_feature,elpd_loo_per_feature_event,se_elpd_per_feature_event,waic,r_hat_max,ess_min_bulk,ess_min_tail,bfmi,n_divergences,tau_map,tau_map_concentration,p_tau_gt_threshold,e_tau,tau_std,tau_q1,tau_q2,tau_q3,p_tau_gt_6,loo_pareto_k_max,loo_n_over_threshold,pareto_filtered,pareto_filter_reason,waic_warning_flag,n_feature_blocks,n_active_features,n_model_events,pareto_retry_count,removed_event_indices,elapsed_time,data_shape,data_output_dir,bad_sample_indices,config_json,source_run_dir,source_profile_dir
1,84047078947410e4,ok,,concat: mean,mean=lognormal,16,5.0,2,1,2,221.8900821613252,221.8900821613252,8.218151191160192,8.21815119116019,0.0232612364828328,8.21815119116019,0.0232612364828328,-443.6149437840552,1.0,546.0,708.0,1.045627091441624,0,8,0.0447367518646442,0.5635369384546338,5.7918133431304,1.9279369025788209,4.0,6.0,8.0,0.476545254871753,0.6248562168886935,0,False,,False,1,1,27,3,"[3, 27, 24]",27.825472451018868,"(27, 184)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2,rem_w2_s1_stage2
2,ad3ffc15b8281043,ok,,concat: mean,mean=student_t,16,5.0,2,1,2,238.74806212953044,238.74806212953044,7.958268737651014,7.958268737651013,0.018667998628559,7.958268737651013,0.018667998628559,-477.6306215578466,1.01,597.0,712.0,1.0270554013627156,0,7,0.0247646460123359,0.6409113025014216,5.873605167208798,1.6828187388552582,4.0,6.0,7.0,0.4300060090986565,0.5872280694115153,0,False,,False,1,1,30,0,[],10.799089478998212,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2,rem_w2_s1_stage2
2,6ba779ebaf87db51,ok,,concat: mean,mean=student_t,16,5.0,2,2,2,227.11544961193948,227.11544961193948,7.57051498706465,7.570514987064652,0.0189592814881677,7.570514987064652,0.0189592814881677,-454.49764265618506,1.01,698.0,974.0,0.9231091958012358,0,8,0.0212574934791544,0.6120888937679212,5.820375625550985,1.7853178145695483,4.0,6.0,7.0,0.4259870004775718,0.5961925992929861,0,False,,False,1,1,30,0,[],11.831802000990136,"(30, 96)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2,rem_w2_s2_stage2
24,5f84c98f34908df9,ok,,concat: mean; odd: mean,mean=student_t,16,5.0,2,1,2,379.9947587808256,379.9947587808256,14.073879954845394,7.036939977422697,0.0171355226309811,7.036939977422697,0.0171355226309811,-759.9095561746396,1.01,422.0,779.0,1.0390848191478064,0,8,0.0927114014781533,0.7154815720003862,6.24832561754837,1.7091492186646984,5.0,6.0,8.0,0.4758209791565653,0.3710821940553552,0,False,,False,2,2,27,3,"[3, 21, 27]",95.88350028102286,"(27, 184)",,[],"{""feature_selection"": {""concat"": [""mean""], ""odd"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2,rem_w2_s1_stage2
1,1eb6aa5552e0b45f,ok,,concat: mean,mean=lognormal,16,5.0,2,2,2,203.64502543255932,203.64502543255932,7.02224225629515,7.022242256295149,0.0243268939377418,7.022242256295149,0.0243268939377418,-406.48225746864085,1.0,635.0,710.0,0.9335048034980012,0,6,0.1471509994727993,0.7991522209879823,6.110301832387086,1.4426349668204963,6.0,6.0,7.0,0.3826678695837162,0.5579836734190011,0,False,,False,1,1,29,1,[3],10.882891511020716,"(29, 96)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2,rem_w2_s2_stage2
2,ba868fff732bda32,ok,,concat: mean,mean=student_t,16,5.0,3,1,2,207.0082770815661,207.0082770815661,6.900275902718869,6.900275902718869,0.0188025900460632,6.900275902718869,0.0188025900460632,-414.443532257582,1.0,987.0,1068.0,0.9744089388657232,0,6,0.0767346180457727,0.7319934573308885,6.038633697592544,1.5067966082412545,5.0,6.0,7.0,0.4363340371356905,0.6276568296253413,0,False,,False,1,1,30,0,[],10.647950336977374,"(30, 176)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2,rem_w3_s1_stage2
24,3f83b5b22482d95f,ok,,concat: mean; odd: mean,mean=student_t,16,5.0,2,2,2,361.27895042041007,361.27895042041007,12.902819657871788,6.451409828935896,0.0170614178550639,6.451409828935896,0.0170614178550639,-723.1296010087823,1.01,586.0,586.0,1.0481825076705085,0,6,0.123792038301411,0.7147812099357607,5.831701567015593,1.5646166906816108,5.0,6.0,7.0,0.2952725713787657,0.5334345666620164,0,False,,False,2,2,28,2,"[3, 21]",61.45457250799518,"(28, 96)",,[],"{""feature_selection"": {""concat"": [""mean""], ""odd"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2,rem_w2_s2_stage2
18,220b2831e7b61535,ok,,concat: mean; even: mean,mean=student_t,16,5.0,2,1,2,371.9122273880572,371.9122273880572,12.82455956510542,6.412279782552708,0.013812515083417,6.412279782552708,0.013812515083417,-744.1740845365074,1.01,688.0,977.0,1.0135409129583302,0,8,0.2257709594578033,0.8070769635442272,6.838115149454679,1.616241779814044,6.0,8.0,8.0,0.7249131566149709,0.6208272447338061,0,False,,False,2,2,29,1,[27],43.58927185300854,"(29, 184)",,[],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2,rem_w2_s1_stage2
23,b9184ce441593c91,pareto_filtered,"pareto_k_above_threshold_after_retries: k_max=1.00864, threshold=0.7",concat: mean; odd: mean,mean=lognormal,16,5.0,2,1,2,339.4281210388151,339.4281210388151,12.571411890326486,6.285705945163244,0.0257234521679826,6.285705945163244,0.0257234521679826,-680.7081128598086,1.01,375.0,343.0,0.9902315378204184,0,8,0.4157107609730907,0.878233974673427,7.1938535108180535,1.518471701126714,7.0,8.0,8.0,0.8249249081121997,1.008637781118612,1,True,"pareto_k_above_threshold_after_retries: k_max=1.00864, threshold=0.7",False,2,2,27,3,"[3, 21, 27]",41.03155961300945,"(27, 184)",,[],"{""feature_selection"": {""concat"": [""mean""], ""odd"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2,rem_w2_s1_stage2
13,e6efd3a560499801,ok,,"concat: mean, range",mean=lognormal; range=beta,16,5.0,2,1,2,333.0867206772133,333.0867206772133,12.33654521026716,6.168272605133582,0.0182985500164617,6.168272605133582,0.0182985500164617,-666.0359292861292,1.01,398.0,226.0,0.8608902489698685,0,8,0.4160899927074827,0.9562482811506664,6.924825466410121,1.190083848233175,6.0,7.0,8.0,0.5394300361138762,0.4829333995259159,0,False,,False,2,2,27,3,"[24, 3, 4]",75.3535594130226,"(27, 184)",,[],"{""feature_selection"": {""concat"": [""mean"", ""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2,rem_w2_s1_stage2
