rank_by_loo,fingerprint,status,error,features,likelihoods,n_chunks,tau_threshold,window_size_hours,step_size_hours,rem_stage,loo,elpd_loo,elpd_loo_per_event,elpd_loo_per_feature,se_elpd_per_feature,elpd_loo_per_feature_event,se_elpd_per_feature_event,waic,r_hat_max,ess_min_bulk,ess_min_tail,bfmi,n_divergences,tau_map,tau_map_concentration,p_tau_gt_threshold,e_tau,tau_std,tau_q1,tau_q2,tau_q3,p_tau_gt_6,loo_pareto_k_max,loo_n_over_threshold,pareto_filtered,pareto_filter_reason,waic_warning_flag,n_feature_blocks,n_active_features,n_model_events,pareto_retry_count,removed_event_indices,elapsed_time,data_shape,data_output_dir,bad_sample_indices,config_json,source_run_dir,source_profile_dir
2,ad3ffc15b8281043,ok,,concat: mean,mean=student_t,16,5.0,2,1,2,231.2568706951813,231.2568706951813,7.974374851557976,7.974374851557977,0.0201186700695607,7.974374851557977,0.0201186700695607,-462.7672737600884,1.0,1413.0,1663.0,0.9781468664644772,0,7,0.0467679527026663,0.6849858488648175,5.972688922918378,1.6500955248488964,4.262002922497103,5.822983355171066,6.7850817391067055,0.4602111341606952,0.5718439006400564,0,False,,False,1,1,29,0,[],18.05454722995637,"(29, 184)",,[0],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
2,6ba779ebaf87db51,ok,,concat: mean,mean=student_t,16,5.0,2,2,2,220.6121642917325,220.6121642917325,7.607316010059741,7.607316010059741,0.0204733282318646,7.607316010059741,0.0204733282318646,-441.5432211356567,1.0,1578.0,1516.0,0.9467190374822194,0,8,0.0263005747643274,0.6368482371493336,5.881267065814846,1.74679286425367,3.841201817270832,5.705233993627013,6.886742910458474,0.442801667661774,0.5507462315508092,0,False,,False,1,1,29,0,[],18.017301300016697,"(29, 96)",,[0],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2_no_pareto,rem_w2_s2_stage2
1,84047078947410e4,ok,,concat: mean,mean=lognormal,16,5.0,2,1,2,214.2015590794768,214.2015590794768,7.3862606579129935,7.386260657912994,0.020967985005755,7.386260657912994,0.020967985005755,-428.7080856003296,1.0,2917.0,2683.0,1.0436814999041433,0,7,0.5902383102141697,0.9902902156532204,6.5774460997681805,0.5370243639529529,5.603185375932425,6.155402009736934,6.5780509542833325,0.5919214467125418,0.8621817435007524,1,False,,False,1,1,29,0,[],16.170084166980814,"(29, 184)",,[0],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
1,1eb6aa5552e0b45f,ok,,concat: mean,mean=lognormal,16,5.0,2,2,2,204.2696187725473,204.2696187725473,7.043779957674046,7.043779957674045,0.021600003845781,7.043779957674045,0.021600003845781,-409.2244572818047,1.0,3016.0,2835.0,1.0938210836077216,0,7,0.6033124900599995,0.9934187543403312,6.601342975862273,0.5230185694693862,5.6382674105350015,6.183169078129253,6.591866223825898,0.6120445053616854,0.924322886352495,1,False,,False,1,1,29,0,[],16.69014279701514,"(29, 96)",,[0],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2_no_pareto,rem_w2_s2_stage2
2,ba868fff732bda32,ok,,concat: mean,mean=student_t,16,5.0,3,1,2,203.26662737233048,203.26662737233048,7.00919404732174,7.009194047321739,0.0198148383876991,7.009194047321739,0.0198148383876991,-406.7579529128607,1.0,1966.0,2440.0,1.0329870951071316,0,6,0.1249548985073294,0.75533430630559,5.979387335099127,1.4192177658826768,5.01493263085253,5.714772028755252,6.504673848642399,0.3981094905132806,0.5455685719110086,0,False,,False,1,1,29,0,[],17.526803105021827,"(29, 176)",,[0],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2_no_pareto,rem_w3_s1_stage2
1,4366166189da4bc9,ok,,concat: mean,mean=lognormal,16,5.0,3,1,2,189.9104239357811,189.9104239357811,6.548635308130383,6.548635308130383,0.0197906494038913,6.548635308130383,0.0197906494038913,-379.9928433066084,1.0,2896.0,2745.0,1.085667752860456,0,6,0.5971232699349971,0.9929932675799114,6.402186630318072,0.5200309165006702,5.418594948236895,5.849260118928542,6.393974479824318,0.4124958951118744,0.6453242140565573,0,False,,False,1,1,29,0,[],16.032341765996534,"(29, 176)",,[0],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2_no_pareto,rem_w3_s1_stage2
18,220b2831e7b61535,ok,,concat: mean; even: mean,mean=student_t,16,5.0,2,1,2,367.58591012965024,367.58591012965024,12.675376211367247,6.3376881056836245,0.0138089448102733,6.3376881056836245,0.0138089448102733,-735.6819275007617,1.0,1387.0,1793.0,0.9370753282640124,0,8,0.1567672148077523,0.806876924167228,6.638371987565971,1.5996314867592745,5.427228174168876,6.631611132935395,7.3729018818054755,0.6737468367663315,0.5760160174238738,0,False,,False,2,2,29,0,[],29.03699835500447,"(29, 184)",,[0],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
15,116d855aceae2306,ok,,"concat: mean, range",mean=student_t; range=beta,16,5.0,2,1,2,353.31202800509027,353.31202800509027,12.183173379485872,6.091586689742936,0.015877217280264,6.091586689742936,0.015877217280264,-707.1473557493914,1.0,1311.0,1617.0,0.9782654120222368,0,6,0.2423040638449888,0.8894491297017468,6.348528548067451,1.1311717351473112,5.296102509587148,5.826945746508832,6.632628394701529,0.4185003022291969,0.8012963598734316,1,False,,False,2,2,29,0,[],30.56411193398526,"(29, 184)",,[0],"{""feature_selection"": {""concat"": [""mean"", ""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
24,5f84c98f34908df9,ok,,concat: mean; odd: mean,mean=student_t,16,5.0,2,1,2,351.0076012897605,351.0076012897605,12.103710389302083,6.051855194651044,0.0224479550381501,6.051855194651044,0.0224479550381501,-702.395602501966,1.0,1075.0,1722.0,0.985117618564536,0,6,0.0771142471520147,0.7479495642945166,6.187521700518195,1.613074706276948,4.969271285113695,5.950279474355412,7.0154916192332175,0.4870267821175109,0.9296370897172628,1,False,,False,2,2,29,0,[],30.241836394998245,"(29, 184)",,[0],"{""feature_selection"": {""concat"": [""mean""], ""odd"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
2,e422b61b4efb4aa9,ok,,concat: mean,mean=student_t,16,5.0,6,1,2,175.23880544284145,175.23880544284145,6.042717429063497,6.042717429063496,0.0168853588671278,6.042717429063496,0.0168853588671278,-350.7613865405981,1.0,1632.0,1952.0,1.018429197041124,0,7,0.0503607898688635,0.687451961143074,6.052048270067632,1.7249524451076843,4.173759139491684,6.00480633034127,6.978047542001154,0.5012346195073965,0.5848777132822207,0,False,,False,1,1,29,0,[],17.32896333798999,"(29, 152)",,[0],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 6}, ""tau_threshold"": 5.0}",run_output_8day_rem_w6_s1_stage2_no_pareto,rem_w6_s1_stage2
