rank_by_loo,fingerprint,status,error,features,likelihoods,n_chunks,tau_threshold,window_size_hours,step_size_hours,rem_stage,loo,elpd_loo,elpd_loo_per_event,elpd_loo_per_feature,se_elpd_per_feature,elpd_loo_per_feature_event,se_elpd_per_feature_event,waic,r_hat_max,ess_min_bulk,ess_min_tail,bfmi,n_divergences,tau_map,tau_map_concentration,p_tau_gt_threshold,e_tau,tau_std,tau_q1,tau_q2,tau_q3,p_tau_gt_6,loo_pareto_k_max,loo_n_over_threshold,pareto_filtered,pareto_filter_reason,waic_warning_flag,n_feature_blocks,n_active_features,n_model_events,pareto_retry_count,removed_event_indices,elapsed_time,data_shape,data_output_dir,bad_sample_indices,config_json,source_run_dir,source_profile_dir
2,ad3ffc15b8281043,ok,,concat: mean,mean=student_t,16,5.0,2,1,2,237.75330665497464,237.75330665497464,7.925110221832488,7.925110221832489,0.0189609894929668,7.925110221832489,0.0189609894929668,-476.05024160588925,1.0,1514.0,2018.0,1.043323900299889,0,7,0.0301854755674242,0.655745843132493,5.932751070025095,1.6925509610560308,4.009143837137661,5.752292747674593,6.8484215550586365,0.4487176036420581,0.7414049513786635,1,False,,False,1,1,30,0,[],14.030267452006228,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
2,6ba779ebaf87db51,ok,,concat: mean,mean=student_t,16,5.0,2,2,2,227.45919668968756,227.45919668968756,7.581973222989585,7.581973222989585,0.0189283253346136,7.581973222989585,0.0189283253346136,-455.1611747340279,1.0,1491.0,2000.0,1.024370284590865,0,8,0.0189633204563528,0.599438655271489,5.764284138329654,1.7957543812041563,3.5892638314257947,5.535831818709441,6.882596701425489,0.4138605469930582,0.5727841179094951,0,False,,False,1,1,30,0,[],14.01999464200344,"(30, 96)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2_no_pareto,rem_w2_s2_stage2
1,84047078947410e4,ok,,concat: mean,mean=lognormal,16,5.0,2,1,2,211.4181900369192,211.4181900369192,7.047273001230639,7.047273001230641,0.021348080168799,7.047273001230641,0.021348080168799,-424.25979824454953,1.0,2845.0,2561.0,1.0013957120339103,0,7,0.5801580092166676,0.9802823704967454,6.67010888503367,0.583525129436001,5.807931779696842,6.284186856918904,6.64805246355983,0.6952553715796419,1.015514949428193,2,False,,False,1,1,30,0,[],8.37911813199753,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
2,ba868fff732bda32,ok,,concat: mean,mean=student_t,16,5.0,3,1,2,207.10320300006657,207.10320300006657,6.903440100002219,6.903440100002218,0.0188919985850417,6.903440100002218,0.0188919985850417,-414.7400380072382,1.0,1673.0,1797.0,0.9962210926458648,0,6,0.0808801886743558,0.7384175310617637,6.054761505101855,1.494033299398462,4.860283454735484,5.790826386360979,6.678388138720008,0.4369385526492552,0.6589874963963603,0,False,,False,1,1,30,0,[],13.530018238991032,"(30, 176)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2_no_pareto,rem_w3_s1_stage2
1,1eb6aa5552e0b45f,ok,,concat: mean,mean=lognormal,16,5.0,2,2,2,199.9395091541874,199.9395091541874,6.664650305139579,6.664650305139578,0.0217387152017251,6.664650305139578,0.0217387152017251,-399.8398400530297,1.0,2931.0,2536.0,1.0756131693861612,0,7,0.5964375153263523,0.9835411249457492,6.681945748452498,0.5679158886140474,5.839012008955595,6.293565726107207,6.651243674136193,0.7051885835602428,0.7014913652690763,1,False,,False,1,1,30,0,[],8.09986714599654,"(30, 96)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 2, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s2_stage2_no_pareto,rem_w2_s2_stage2
18,220b2831e7b61535,ok,,concat: mean; even: mean,mean=student_t,16,5.0,2,1,2,379.2209679253861,379.2209679253861,12.640698930846202,6.320349465423102,0.0128309711711786,6.320349465423102,0.0128309711711786,-758.7639993006355,1.0,1280.0,1443.0,0.9911876831882266,0,8,0.1468158109242768,0.7765886660747183,6.5957586102296,1.668781393613407,5.225493344964279,6.681212344712258,7.412793389559246,0.6586753587931651,0.5546542586223114,0,False,,False,2,2,30,0,[],22.465951508958824,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean""], ""even"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
1,4366166189da4bc9,ok,,concat: mean,mean=lognormal,16,5.0,3,1,2,182.01328011500317,182.01328011500317,6.067109337166771,6.06710933716677,0.0216274089479036,6.06710933716677,0.0216274089479036,-365.245597271496,1.0,3045.0,2545.0,1.06321671111698,0,7,0.5886565329129438,0.9867131306203664,6.643414406092511,0.5502745547208083,5.724930031035364,6.244327145726576,6.6256575326811005,0.6601807475125976,0.7806929514910839,3,False,,False,1,1,30,0,[],8.23012781701982,"(30, 176)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""lognormal""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 3}, ""tau_threshold"": 5.0}",run_output_8day_rem_w3_s1_stage2_no_pareto,rem_w3_s1_stage2
24,5f84c98f34908df9,ok,,concat: mean; odd: mean,mean=student_t,16,5.0,2,1,2,361.9814325935272,361.9814325935272,12.066047753117571,6.033023876558787,0.0206440904820575,6.033023876558787,0.0206440904820575,-723.7779899157464,1.0,1245.0,1739.0,0.9676857002567218,0,8,0.0930886066308083,0.7658454492137958,6.30662660756869,1.592885109803175,5.05892306763138,5.988575910481656,7.182448823545842,0.4969278614038016,0.6259307819248043,0,False,,False,2,2,30,0,[],23.672701589006465,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean""], ""odd"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
15,116d855aceae2306,ok,,"concat: mean, range",mean=student_t; range=beta,16,5.0,2,1,2,361.6686704206861,361.6686704206861,12.055622347356204,6.027811173678104,0.0149213167385553,6.027811173678104,0.0149213167385553,-723.9324937190232,1.0,1688.0,1739.0,0.9445139461179706,0,6,0.2634919916977634,0.9090667024267658,6.425219619822071,1.104210266181337,5.324271458566026,5.833918439390501,6.728976079615197,0.4185310779528099,0.7298822147556465,1,False,,False,2,2,30,0,[],24.82518628600519,"(30, 184)",,[],"{""feature_selection"": {""concat"": [""mean"", ""range""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}, ""range"": {""likelihood"": ""beta""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 2}, ""tau_threshold"": 5.0}",run_output_8day_rem_w2_s1_stage2_no_pareto,rem_w2_s1_stage2
2,e422b61b4efb4aa9,ok,,concat: mean,mean=student_t,16,5.0,6,1,2,176.87365117879446,176.87365117879446,5.895788372626482,5.895788372626482,0.0160805668906065,5.895788372626482,0.0160805668906065,-354.0072520163882,1.0,1495.0,1740.0,1.040721786331473,0,8,0.0307444379210988,0.6309640151155884,5.895528138881394,1.7972886495001603,3.73311964471943,5.699619189018961,7.047244633828005,0.4437707288662039,0.4315609310136105,0,False,,False,1,1,30,0,[],13.488001835998148,"(30, 152)",,[],"{""feature_selection"": {""concat"": [""mean""]}, ""n_chunks"": 16, ""parameter_selection"": {""mean"": {""likelihood"": ""student_t""}}, ""rem_profile_params"": {""rem_stage"": 2, ""step_size_hours"": 1, ""window_size_hours"": 6}, ""tau_threshold"": 5.0}",run_output_8day_rem_w6_s1_stage2_no_pareto,rem_w6_s1_stage2
