features,likelihoods,n_points,overlap,e_tau
daily: mean,mean=student_t,24,0.0,6.025199232767231
daily: mean,mean=skew_normal,24,0.5,6.319411314380132
daily: mean,mean=student_t,24,0.5,5.5716790293916025
daily: mean; night: mean,mean=student_t,24,0.0,5.878351478013654
daily: mean,mean=student_t,12,0.0,5.713039466538263
daily: mean; night: mean,mean=student_t,24,0.25,6.170285731901428
daily: mean; day: mean,mean=student_t,24,0.25,6.222764043943108
daily: mean,mean=skew_normal,12,0.5,6.451530283470338
daily: mean,mean=student_t,12,0.5,5.872225190590788
daily: mean; night: mean,mean=student_t,24,0.5,5.301571081147717
night: mean,mean=student_t,24,0.0,4.483058103561347
daily: mean; night: mean,mean=skew_normal,12,0.0,6.44196008256891
daily: mean; night: mean,mean=student_t,12,0.0,5.797398312545325
day: mean; night: mean,mean=student_t,24,0.0,4.681033940548403
day: mean,mean=student_t,24,0.0,5.284362410063421
night: mean,mean=student_t,24,0.25,4.693267725409443
night: mean,mean=skew_normal,24,0.5,5.564940549996243
night: mean,mean=student_t,24,0.5,5.078765632150477
night: mean,mean=student_t,12,0.0,4.883111530594443
day: mean,mean=student_t,12,0.25,5.173117438136654
night: mean,mean=student_t,12,0.25,5.36855764139122
night: mean,mean=skew_normal,12,0.5,7.117114461212644
night: mean,mean=student_t,12,0.5,5.651674651450976
daily: mean,mean=skew_normal,24,0.0,6.137865206877251
daily: mean,mean=student_t,24,0.25,6.151329364967706
daily: mean,mean=skew_normal,24,0.25,6.432843287754023
daily: mean; night: mean,mean=skew_normal,24,0.0,6.377031121054161
daily: mean,mean=skew_normal,12,0.0,6.217446835488261
daily: mean; day: mean,mean=student_t,24,0.0,5.988758318339466
daily: mean; day: mean,mean=skew_normal,24,0.0,6.176236640912686
daily: mean; day: mean; night: mean,mean=skew_normal,24,0.0,6.494125977575012
daily: mean; day: mean; night: mean,mean=student_t,24,0.0,5.919483673637035
daily: mean; night: mean,mean=skew_normal,24,0.25,6.646207903863664
daily: mean,mean=skew_normal,12,0.25,6.267491224716015
daily: mean,mean=student_t,12,0.25,5.735779497298218
daily: mean; day: mean,mean=skew_normal,24,0.25,6.422426720898542
daily: mean; night: mean,mean=skew_normal,24,0.5,6.648306260951832
daily: mean; day: mean; night: mean,mean=skew_normal,24,0.25,6.577159257823148
daily: mean; day: mean; night: mean,mean=student_t,24,0.25,6.273066746210944
night: mean,mean=skew_normal,24,0.0,5.442183999794942
daily: mean; day: mean,mean=skew_normal,24,0.5,6.289144602004015
daily: mean; day: mean,mean=student_t,24,0.5,5.526001616508773
day: mean; night: mean,mean=skew_normal,24,0.0,5.069296327578721
daily: mean; day: mean,mean=skew_normal,12,0.0,6.151966919179511
daily: mean; day: mean,mean=student_t,12,0.0,5.812311712382632
daily: mean; day: mean; night: mean,mean=skew_normal,24,0.5,6.69397075985988
day: mean,mean=skew_normal,24,0.0,4.73204348224579
night: mean,mean=skew_normal,24,0.25,5.124900296573567
daily: mean; day: mean; night: mean,mean=student_t,24,0.5,5.484572125850674
daily: mean; day: mean,mean=skew_normal,12,0.25,6.297256060465349
daily: mean; day: mean; night: mean,mean=skew_normal,12,0.0,6.2624261974963655
daily: mean; day: mean,mean=student_t,12,0.25,6.11602454136957
daily: mean; day: mean; night: mean,mean=student_t,12,0.0,5.62090446471894
day: mean; night: mean,mean=skew_normal,24,0.25,4.810978887933051
day: mean; night: mean,mean=student_t,24,0.25,4.8653819920187065
daily: mean; night: mean,mean=student_t,12,0.25,5.912274698993689
daily: mean; night: mean,mean=skew_normal,12,0.25,6.876582230280089
daily: mean; night: mean,mean=skew_normal,12,0.5,7.082308781762295
daily: mean; day: mean,mean=skew_normal,12,0.5,6.227893263137879
daily: mean; night: mean,mean=student_t,12,0.5,6.356365575050924
daily: mean; day: mean,mean=student_t,12,0.5,5.784757823667512
day: mean,mean=student_t,24,0.25,5.225444800043164
daily: mean; day: mean; night: mean,mean=skew_normal,12,0.25,6.815198167679444
day: mean,mean=skew_normal,24,0.25,5.111152971608667
daily: mean; day: mean; night: mean,mean=student_t,12,0.25,5.805891903033705
day: mean; night: mean,mean=skew_normal,24,0.5,4.6673105996839634
day: mean; night: mean,mean=student_t,24,0.5,4.833863352529179
daily: mean; day: mean; night: mean,mean=skew_normal,12,0.5,7.150521840791572
night: mean,mean=skew_normal,12,0.0,5.088473637398616
daily: mean; day: mean; night: mean,mean=student_t,12,0.5,6.259157981677604
day: mean,mean=skew_normal,24,0.5,4.969448532121675
day: mean; night: mean,mean=skew_normal,12,0.0,5.02479122290619
day: mean; night: mean,mean=student_t,12,0.0,5.198000200418649
day: mean,mean=student_t,24,0.5,5.165794354942465
day: mean,mean=skew_normal,12,0.0,5.485235537818495
day: mean,mean=skew_normal,12,0.25,5.346097638339156
day: mean,mean=student_t,12,0.0,5.0938119984583405
day: mean; night: mean,mean=skew_normal,12,0.25,5.713329313613309
day: mean; night: mean,mean=student_t,12,0.25,5.423330426816685
night: mean,mean=skew_normal,12,0.25,5.804425979712222
day: mean,mean=skew_normal,12,0.5,5.015032412609926
day: mean; night: mean,mean=skew_normal,12,0.5,6.875963326530543
day: mean,mean=student_t,12,0.5,5.015568656179838
day: mean; night: mean,mean=student_t,12,0.5,5.653192282837569
