features,likelihoods,n_points,overlap,range_lik,e_tau,has_mean,has_range
daily: range,range=zero_inflated_beta,24,0.25,zero_inflated_beta,4.442282181638925,False,True
daily: range,range=beta,24,0.0,beta,3.081418671364834,False,True
"daily: mean, range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0160541868205084,True,True
daily: range,range=beta,24,0.25,beta,4.403764575814342,False,True
daily: range,range=beta,24,0.5,beta,5.23852401155087,False,True
daily: range; night: range,range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.00000000000005,False,True
"daily: mean, range",mean=student_t; range=zero_inflated_beta,24,0.25,zero_inflated_beta,5.685999927676014,True,True
daily: range,range=beta_constrained,24,0.5,beta_constrained,3.6108077722083953,False,True
daily: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000139892452374,True,True
daily: range,range=beta_constrained,24,0.25,beta_constrained,5.963659181473327,False,True
"daily: mean, range",mean=student_t; range=beta,24,0.25,beta,5.76573114478315,True,True
"daily: mean, range",mean=skew_normal; range=beta,24,0.25,beta,5.991555113188225,True,True
daily: range; day: range; night: mean,mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.996027325774582,True,True
"daily: mean, range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.744681316149578,True,True
daily: range,range=beta,12,0.0,beta,6.995025414431038,False,True
"daily: mean, range",mean=student_t; range=beta_constrained,24,0.25,beta_constrained,6.381846017458769,True,True
daily: range,range=interval_inflated_beta,12,0.0,interval_inflated_beta,6.926781989720892,False,True
daily: range; night: mean,mean=student_t; range=beta,24,0.0,beta,2.4510721451538893,True,True
"daily: range; night: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000000000004809,True,True
daily: mean; day: range,mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,6.965289458497498,True,True
"daily: mean, range; day: range",mean=student_t; range=beta,24,0.5,beta,6.070589945553999,True,True
daily: range; night: range,range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.2896817533760188,False,True
"daily: mean, range; night: range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.000000300916242,True,True
daily: range,range=beta,12,0.25,beta,5.459582584667254,False,True
daily: range; night: range,range=beta,24,0.5,beta,2.62381956539744,False,True
day: range,range=interval_inflated_beta,24,0.5,interval_inflated_beta,3.566320465320388,False,True
day: range,range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.939939867097767,False,True
daily: range,range=beta,12,0.5,beta,4.420698135936838,False,True
"daily: mean, range; night: range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.222645092587977,True,True
daily: range,range=beta_constrained,12,0.5,beta_constrained,4.39284015904553,False,True
daily: range; day: range,range=interval_inflated_beta,12,0.25,interval_inflated_beta,4.352249340427522,False,True
daily: range; night: range,range=beta_constrained,24,0.0,beta_constrained,2.000000662719831,False,True
daily: mean; day: range,mean=student_t; range=beta_constrained,24,0.25,beta_constrained,4.390244907226403,True,True
daily: range; day: range; night: range,range=beta,24,0.5,beta,3.693536171335976,False,True
daily: range; night: range,range=beta_constrained,24,0.5,beta_constrained,2.182010833135869,False,True
daily: mean; day: range,mean=skew_normal; range=beta,24,0.25,beta,3.945451065691396,True,True
daily: range; day: range,range=interval_inflated_beta,12,0.0,interval_inflated_beta,7.073022138300636,False,True
day: range,range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.835243533135322,False,True
"daily: mean, range; night: range",mean=student_t; range=beta,24,0.5,beta,2.684766638742301,True,True
"daily: mean, range",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,7.02486854887524,True,True
daily: range; day: range; night: range,range=beta_constrained,24,0.5,beta_constrained,2.3093060214547827,False,True
"daily: mean, range",mean=skew_normal; range=beta_constrained,12,0.0,beta_constrained,6.9936564198707325,True,True
daily: range; night: mean,mean=student_t; range=beta_constrained,24,0.0,beta_constrained,2.09621477271439,True,True
daily: range; night: range,range=beta,12,0.0,beta,7.019994314816448,False,True
day: range,range=beta,24,0.5,beta,5.74245419551019,False,True
day: range,range=beta_constrained,24,0.5,beta_constrained,5.732257284967582,False,True
day: range,range=beta,12,0.5,beta,4.310764924472151,False,True
day: range,range=beta_constrained,12,0.5,beta_constrained,4.549551684290391,False,True
"daily: mean, range; night: mean",mean=student_t; range=beta,24,0.25,beta,5.808963508818899,True,True
