tag,role,feature_block,mean_lik,range_lik,n_points,overlap,stratum,apply_artifacts,day_mask,min_valid_days,seed,tune,draws,chains,nuts_backend,n_events_fit,n_masked_days,sample_seconds,e_tau,tau_hdi_60_width,elpd_loo,elpd_loo_se,elpd_loo_per_feature_event,r_hat_max,ess_min_bulk,n_divergences,loo_pareto_k_max,loo_pareto_k_n_high,loo_pareto_event_indices,loo_pareto_events,loo_pareto_worst_event,windows_dropped,ppc_path,tau_summary_path
primary_a_st_bc_mask_on,Primary A,daily:mean+range,student_t,beta_constrained,24,0.5,full,True,True,6,20260807,800,600,2,blackjax,34,8,14.3,4.2530617214759125,3.8154354824988963,217.98523807773205,,3.205665265849001,1.0,inf,0,0.5715432374082748,0,[],[],"[{'matrix_idx': 23, 'rat_id': 'R2', 'event_date': '2024-09-30', 'direction': 'after_reversed'}]",False,run_output_density_safe_confirmatory/figures/primary_a_st_bc_mask_on_ppc.png,run_output_density_safe_confirmatory/figures/primary_a_st_bc_mask_on_tau_summary.json
primary_b_bc_n24_ov0.0,Primary B,daily:range,,beta_constrained,24,0.0,full,True,True,6,20260807,800,600,2,blackjax,34,8,5.72,2.168639881379521,0.00019476249069017015,155.59544015408466,,4.5763364751201365,1.0,inf,0,0.7201245782538191,1,[21],"[{'matrix_idx': 21, 'rat_id': 'R2', 'event_date': '2023-04-11', 'direction': 'after_reversed'}]","[{'matrix_idx': 21, 'rat_id': 'R2', 'event_date': '2023-04-11', 'direction': 'after_reversed'}]",False,run_output_density_safe_confirmatory/figures/primary_b_bc_n24_ov0.0_ppc.png,run_output_density_safe_confirmatory/figures/primary_b_bc_n24_ov0.0_tau_summary.json
primary_b_zoib_n24_ov0.0,Primary B,daily:range,,zero_inflated_beta,24,0.0,full,True,True,6,20260807,800,600,2,blackjax,34,8,7.53,2.003783118260984,1.5422510823981384e-08,264.77568068595934,,7.787520020175275,1.0,inf,0,0.7301034495775665,1,[23],"[{'matrix_idx': 23, 'rat_id': 'R2', 'event_date': '2024-09-30', 'direction': 'after_reversed'}]","[{'matrix_idx': 23, 'rat_id': 'R2', 'event_date': '2024-09-30', 'direction': 'after_reversed'}]",False,run_output_density_safe_confirmatory/figures/primary_b_zoib_n24_ov0.0_ppc.png,run_output_density_safe_confirmatory/figures/primary_b_zoib_n24_ov0.0_tau_summary.json
primary_b_bc_n24_ov0.25,Primary B,daily:range,,beta_constrained,24,0.25,full,True,True,6,20260807,800,600,2,blackjax,34,8,5.78,5.906956963820912,2.199552944748633,139.46190656914231,,4.101820781445362,1.0,inf,0,0.5036107794719714,0,[],[],"[{'matrix_idx': 7, 'rat_id': 'R2', 'event_date': '2024-10-29', 'direction': 'before'}]",False,run_output_density_safe_confirmatory/figures/primary_b_bc_n24_ov0.25_ppc.png,run_output_density_safe_confirmatory/figures/primary_b_bc_n24_ov0.25_tau_summary.json
primary_b_zoib_n24_ov0.25,Primary B,daily:range,,zero_inflated_beta,24,0.25,full,True,True,6,20260807,800,600,2,blackjax,34,8,6.87,4.487884719917325,1.517724237643192,200.49637059408735,,5.896952076296687,1.0,inf,0,0.9044701636149003,1,[32],"[{'matrix_idx': 32, 'rat_id': 'R1', 'event_date': '2025-07-20', 'direction': 'after_reversed'}]","[{'matrix_idx': 32, 'rat_id': 'R1', 'event_date': '2025-07-20', 'direction': 'after_reversed'}]",False,run_output_density_safe_confirmatory/figures/primary_b_zoib_n24_ov0.25_ppc.png,run_output_density_safe_confirmatory/figures/primary_b_zoib_n24_ov0.25_tau_summary.json
primary_b_bc_n24_ov0.5,Primary B,daily:range,,beta_constrained,24,0.5,full,True,True,6,20260807,800,600,2,blackjax,34,8,5.91,3.79808007697567,1.4102899532936153,143.30772962204242,,4.214933224177718,1.0,inf,0,0.7014100377000801,1,[34],"[{'matrix_idx': 34, 'rat_id': 'R3', 'event_date': '2025-07-20', 'direction': 'after_reversed'}]","[{'matrix_idx': 34, 'rat_id': 'R3', 'event_date': '2025-07-20', 'direction': 'after_reversed'}]",False,run_output_density_safe_confirmatory/figures/primary_b_bc_n24_ov0.5_ppc.png,run_output_density_safe_confirmatory/figures/primary_b_bc_n24_ov0.5_tau_summary.json
primary_b_zoib_n24_ov0.5,Primary B,daily:range,,zero_inflated_beta,24,0.5,full,True,True,6,20260807,800,600,2,blackjax,34,8,7.05,4.440251346717167,2.9821159912576594,172.33535816139727,,5.0686870047469785,1.0,inf,0,0.863728167527689,1,[34],"[{'matrix_idx': 34, 'rat_id': 'R3', 'event_date': '2025-07-20', 'direction': 'after_reversed'}]","[{'matrix_idx': 34, 'rat_id': 'R3', 'event_date': '2025-07-20', 'direction': 'after_reversed'}]",False,run_output_density_safe_confirmatory/figures/primary_b_zoib_n24_ov0.5_ppc.png,run_output_density_safe_confirmatory/figures/primary_b_zoib_n24_ov0.5_tau_summary.json
primary_a_mask_off,sensitivity_mask_off,daily:mean+range,student_t,beta_constrained,24,0.5,full,False,True,6,20260807,800,600,2,blackjax,34,2,9.05,3.1621447676193988,0.093421056508733,201.44913409065174,,2.962487266038996,1.0,inf,0,0.7792918721917144,3,"[5, 6, 23]","[{'matrix_idx': 5, 'rat_id': 'R3', 'event_date': '2023-05-03', 'direction': 'before'}, {'matrix_idx': 6, 'rat_id': 'R3', 'event_date': '2024-09-30', 'direction': 'before'}, {'matrix_idx': 23, 'rat_id': 'R2', 'event_date': '2024-09-30', 'direction': 'after_reversed'}]","[{'matrix_idx': 5, 'rat_id': 'R3', 'event_date': '2023-05-03', 'direction': 'before'}]",False,,run_output_density_safe_confirmatory/figures/primary_a_mask_off_tau_summary.json
primary_a_before_only,before_only,daily:mean+range,student_t,beta_constrained,24,0.5,before_only,True,True,6,20260807,800,600,2,blackjax,18,4,10.33,2.110132865993724,0.022501974107462352,124.78242664675399,,3.4661785179653886,1.0,inf,0,0.8936827343022162,1,[6],"[{'matrix_idx': 6, 'rat_id': 'R3', 'event_date': '2024-09-30', 'direction': 'before'}]","[{'matrix_idx': 6, 'rat_id': 'R3', 'event_date': '2024-09-30', 'direction': 'before'}]",False,,run_output_density_safe_confirmatory/figures/primary_a_before_only_tau_summary.json
meanrange_st_iib_n24_ov0.5,sensitivity,daily:mean+range,student_t,interval_inflated_beta,24,0.5,full,True,True,6,20260807,800,600,2,blackjax,34,8,12.03,5.901248901139752,0.9922839123491354,215.50181643079384,,3.16914435927638,1.0,inf,0,0.6340083786982835,0,[],[],"[{'matrix_idx': 23, 'rat_id': 'R2', 'event_date': '2024-09-30', 'direction': 'after_reversed'}]",False,,run_output_density_safe_confirmatory/figures/meanrange_st_iib_n24_ov0.5_tau_summary.json
